"refNo","collectDate","subjEmail","cenTract","ageRange","score"
10000051,"7/16/2015","justo.faucibus@molestie.edu",36752,17,138
10000051,"4/3/2016","nascetur.ridiculus@magnaPraesentinterdum.org",52289,20,225
10000052,"2/13/2015","egestas@lobortis.com",18580,20,14
10000052,"3/5/2015","fermentum.convallis@ut.com",28966,60,252
10000052,"8/27/2016","in@interdum.edu",33930,65,23
10000052,"5/19/2016","lacus.Nulla.tincidunt@Nullainterdum.edu",37588,40,24
10000052,"1/15/2017","lectus.Cum.sociis@Nuncsed.com",38808,30,130
10000052,"10/22/2016","massa.Suspendisse.eleifend@bibendum.edu",46286,50,69
10000052,"7/2/2015","semper.auctor@massa.net",78943,60,38
10000053,"9/15/2016","amet.massa.Quisque@commodoipsum.com",5637,60,174
10000053,"8/17/2015","fringilla.mi.lacinia@diamvelarcu.com",29729,17,115
10000053,"5/10/2015","Integer@Suspendissealiquetmolestie.org",35274,17,23
10000053,"7/11/2015","lectus.Nullam@etlaciniavitae.org",39160,40,345
10000053,"10/6/2015","tellus.id.nunc@id.net",84456,65,199
10000053,"11/11/2015","ultrices@nec.com",91117,40,203
10000053,"10/15/2016","vitae.posuere.at@odiovel.com",97587,60,47
10000054,"6/23/2016","accumsan.interdum.libero@ornare.com",3651,17,99
10000054,"11/24/2015","faucibus@utnisi.edu",28601,50,48
10000054,"3/3/2015","ipsum.dolor.sit@et.org",35789,50,126
10000054,"5/21/2016","mus.Donec.dignissim@nunc.net",51029,65,96
10000054,"12/18/2016","Nunc.sollicitudin@velturpisAliquam.edu",61478,17,181
10000054,"2/14/2016","scelerisque@molestie.net",75099,40,154
10000054,"6/20/2015","Vestibulum.accumsan.neque@hendreritidante.com",95966,60,117
10000055,"11/21/2015","Morbi.quis@Integerurna.edu",50262,60,68
10000055,"7/25/2015","natoque.penatibus.et@natoquepenatibus.edu",52599,40,173
10000055,"9/4/2016","nec.leo.Morbi@mifringillami.edu",53241,50,190
10000055,"4/12/2015","nisi@necorci.edu",56401,65,18
10000055,"12/7/2016","Nullam@est.org",60188,40,128
10000055,"3/12/2016","Pellentesque.habitant.morbi@pharetrasedhendrerit.net",65666,40,230
10000055,"2/17/2015","Phasellus@pede.com",67630,50,170
10000056,"2/15/2015","adipiscing@egestasurna.edu",4174,20,82
10000056,"11/28/2015","imperdiet.erat@interdum.com",32271,65,98
10000056,"8/18/2016","lacus.vestibulum.lorem@dis.com",37763,65,118
10000056,"6/3/2016","neque.et@nascetur.com",54013,60,108
10000056,"2/19/2015","Proin@mattisCras.org",69115,60,305
10000056,"4/13/2015","sit.amet.luctus@egettincidunt.com",79330,20,197
10000056,"1/14/2016","Ut.semper.pretium@vitae.org",93308,65,164
10000057,"2/17/2015","arcu@temporarcu.net",7269,50,79
10000057,"12/24/2015","cubilia.Curae@magna.org",11753,20,148
10000057,"12/25/2016","elementum.at.egestas@nonquam.edu",20367,60,295
10000057,"9/21/2015","eu.eros@vel.com",25085,60,162
10000057,"8/11/2016","mauris@nullaDonec.com",47707,60,172
10000057,"6/19/2016","posuere.cubilia@vestibulummassa.org",68154,65,131
10000057,"9/28/2015","Vestibulum.ut.eros@euelitNulla.org",96263,30,104
10000058,"8/23/2016","ligula@porta.com",41043,17,196
10000058,"7/29/2016","lobortis.Class.aptent@mollisduiin.com",41090,40,43
10000058,"5/25/2015","Pellentesque@Suspendissetristiqueneque.com",65881,20,274
10000058,"8/20/2015","Quisque.fringilla@Donectempus.net",71708,65,164
10000058,"5/22/2016","sem.semper.erat@sodaleseliterat.net",77940,17,80
10000058,"3/20/2016","Suspendisse.ac.metus@purus.com",82658,30,167
10000058,"7/2/2016","Suspendisse.aliquet.sem@Mauriseuturpis.edu",83007,20,215
10000059,"7/12/2015","aliquet.libero.Integer@tristiqueac.org",4972,20,230
10000059,"9/2/2016","at.auctor.ullamcorper@tortorIntegeraliquam.edu",7411,30,96
10000059,"2/20/2015","Cras.interdum.Nunc@sapiengravida.com",10156,65,52
10000059,"3/6/2015","lacus@augue.edu",37951,60,226
10000059,"7/21/2015","magna.a@pedeetrisus.org",44145,17,224
10000059,"11/26/2015","tristique.senectus@Quisque.com",89187,40,99
10000059,"6/6/2016","ut.pharetra.sed@Utsagittis.edu",93218,50,229
10000060,"11/30/2015","a.magna.Lorem@aliquetPhasellus.com",2083,30,249
10000060,"10/28/2015","ac.mattis@odiotristiquepharetra.com",2903,65,179
10000060,"5/6/2015","elit.erat.vitae@Nunc.com",20560,30,250
10000060,"8/27/2016","eu@volutpatornare.net",26108,20,263
10000060,"2/13/2015","mi@consectetuerrhoncus.com",48867,20,186
10000060,"3/3/2016","nisi.Cum@vestibulumneceuismod.org",55951,20,111
10000060,"10/2/2015","pede.blandit.congue@ac.edu",65064,65,229
10000061,"10/14/2015","arcu.Sed@Proinultrices.org",6958,20,248
10000061,"10/21/2016","iaculis.quis@Curabiturconsequat.org",31872,60,139
10000061,"9/7/2016","ipsum@lobortisrisus.com",36567,50,160
10000061,"10/13/2015","magna.Ut.tincidunt@Etiam.org",44686,30,258
10000061,"12/15/2016","mauris.sit@Maurisquis.net",47084,50,163
10000061,"10/17/2016","Nam.interdum@Aliquam.com",51587,60,135
10000061,"3/28/2016","tempor@lectus.edu",85761,17,275
10000062,"2/5/2016","ac.turpis@etcommodo.org",3093,60,251
10000062,"10/3/2015","in@gravidanon.com",33824,60,262
10000062,"1/25/2015","justo.nec.ante@Namporttitorscelerisque.net",36942,17,125
10000062,"12/27/2016","magna.nec@Duis.edu",44497,17,73
10000062,"8/8/2016","posuere.cubilia.Curae@lobortisquispede.com",67911,60,136
10000062,"7/27/2016","Suspendisse@Nuncmauris.com",83919,20,10
10000062,"12/8/2015","vel.nisl@veliteu.com",95359,60,79
10000063,"7/8/2015","ac.sem@Aliquam.net",3061,20,207
10000063,"5/6/2015","dolor.Quisque@vitae.edu",15348,20,129
10000063,"7/14/2015","eleifend.nunc@tincidunt.edu",20098,65,34
10000063,"9/22/2015","Nam@anteVivamus.com",52122,17,106
10000063,"2/15/2016","odio.Nam.interdum@Suspendisse.edu",62748,50,173
10000063,"5/8/2016","sit.amet@Phasellus.com",80516,40,57
10000063,"2/19/2015","ullamcorper@estvitaesodales.com",90773,65,182
10000064,"5/4/2015","Aliquam.nisl@metus.com",4709,17,119
10000064,"1/21/2015","in.tempus.eu@Aliquamerat.net",33601,17,291
10000064,"8/17/2015","morbi.tristique.senectus@Suspendisse.com",50544,50,183
10000064,"9/8/2015","nec.urna@accumsansedfacilisis.com",53729,40,228
10000064,"6/10/2016","non@parturient.org",57830,17,270
10000064,"10/10/2015","rutrum.magna@magnaNamligula.com",73081,30,119
10000064,"7/5/2015","semper.egestas.urna@sitamet.com",79055,40,73
10000065,"4/28/2016","blandit.at.nisi@diamluctus.net",9005,50,303
10000065,"5/17/2016","blandit.at.nisi@posuereenimnisl.com",9203,20,167
10000065,"4/9/2015","dapibus@iaculis.com",13676,17,253
10000065,"10/13/2015","lorem@tempus.net",43050,20,282
10000065,"6/3/2015","molestie@Fuscealiquam.net",49170,20,150
10000065,"5/7/2015","orci.adipiscing@aliquetlobortis.com",62854,20,206
10000065,"6/14/2016","orci@liberomaurisaliquam.edu",63582,40,173
10000066,"5/19/2016","arcu.Nunc.mauris@Duismienim.edu",6676,65,183
10000066,"9/9/2015","enim@diam.edu",23104,60,225
10000066,"8/3/2015","et@Fuscedolorquam.net",24557,50,130
10000066,"3/21/2015","eu@nibhdolor.com",26017,30,146
10000066,"9/24/2016","ipsum.Suspendisse.sagittis@mattis.org",36296,60,223
10000066,"9/4/2016","magnis@nonsollicitudin.com",45842,17,189
10000066,"11/16/2016","sem.ut.dolor@enimEtiamgravida.com",77960,40,161
10000067,"9/4/2015","cursus@hendreritaarcu.com",13531,40,206
10000067,"11/15/2015","magna.Duis.dignissim@sedduiFusce.com",44250,20,62
10000067,"8/13/2015","malesuada@ametrisus.edu",46073,17,65
10000067,"10/7/2015","mi@risus.edu",49037,20,143
10000067,"9/20/2015","Nunc.laoreet@vitaeposuere.org",60909,40,27
10000067,"1/20/2017","Sed.id@sodaleselit.edu",75444,40,70
10000067,"9/25/2016","viverra@luctus.com",99100,17,97
10000068,"9/6/2016","a.sollicitudin@libero.edu",2405,65,188
10000068,"11/7/2015","aliquet.molestie.tellus@aliquetsemut.org",5070,30,266
10000068,"9/5/2016","auctor.non@velarcueu.com",8635,20,146
10000068,"2/8/2016","In.at@Quisque.com",33294,60,153
10000068,"2/20/2015","ipsum.dolor.sit@velitSed.edu",35792,50,170
10000068,"10/20/2016","massa.non.ante@acfeugiat.com",46095,60,118
10000068,"8/29/2016","mauris@lorem.net",47486,40,179
10000069,"8/8/2015","blandit.viverra@bibendum.org",9285,60,118
10000069,"1/28/2016","In.faucibus.Morbi@etmagna.net",33385,65,171
10000069,"7/19/2016","interdum.Curabitur@loremutaliquam.com",35278,50,98
10000069,"9/4/2015","Nullam@purusNullam.com",60477,65,73
10000069,"11/7/2016","sagittis@facilisi.org",73873,65,119
10000069,"9/9/2015","sit.amet@acnullaIn.org",80211,20,201
10000069,"12/28/2016","vitae@euarcuMorbi.net",98448,17,97
10000070,"3/30/2015","aliquet.odio.Etiam@iaculis.com",5085,60,92
10000070,"8/19/2015","at.pede@inconsequatenim.net",8033,17,387
10000070,"6/3/2015","Cras.convallis@Curabiturut.edu",10001,65,7
10000070,"11/3/2015","in@Aliquamnisl.com",33738,20,86
10000070,"5/30/2015","lorem@sagittisDuis.org",42605,30,109
10000070,"10/20/2015","tortor.Integer@Cras.com",88042,30,182
10000070,"9/5/2016","vitae@mollisnoncursus.com",98796,50,202
10000071,"11/21/2016","accumsan.interdum.libero@egestasSed.edu",3627,40,77
10000071,"8/13/2016","libero.Proin.mi@velitAliquamnisl.org",40399,60,277
10000071,"3/21/2015","lobortis.ultrices.Vivamus@nibhlacinia.org",41280,65,168
10000071,"11/23/2016","nunc@magnaNam.net",61970,60,284
10000071,"9/4/2016","purus.accumsan@Vestibulumaccumsanneque.com",69993,50,179
10000071,"7/26/2016","sit@inmolestietortor.org",80545,65,237
10000071,"9/24/2016","sit@ornareelitelit.org",81262,60,162
10000072,"2/11/2016","Aliquam.nec@iaculisnec.com",4706,17,207
10000072,"1/12/2016","Duis.dignissim@justofaucibus.org",17773,30,204
10000072,"1/9/2016","eros.nec.tellus@Classaptent.com",23804,17,65
10000072,"9/11/2016","ligula.elit@arcuac.com",40701,17,252
10000072,"7/5/2016","neque.In.ornare@lectusNullam.net",54130,60,288
10000072,"6/24/2015","orci@imperdietornareIn.net",63154,65,152
10000072,"3/18/2016","orci@lacuspedesagittis.edu",63413,17,99
10000073,"7/25/2015","adipiscing@luctusvulputate.net",4223,20,229
10000073,"5/11/2016","felis@elementumduiquis.org",28799,50,72
10000073,"9/2/2016","justo@eueleifendnec.edu",37071,17,266
10000073,"11/2/2015","mollis.Integer@ornarelectus.edu",49642,17,212
10000073,"7/10/2015","ornare.lectus.ante@eget.com",64224,20,180
10000073,"4/25/2015","sed.libero.Proin@mifringillami.edu",75666,17,142
10000073,"10/8/2016","sit@necluctus.com",80937,60,11
10000074,"2/1/2015","accumsan.neque.et@eu.com",3759,20,96
10000074,"1/4/2016","egestas.hendrerit@sempertellus.com",18379,30,182
10000074,"3/27/2015","in.aliquet.lobortis@sempertellusid.edu",33217,50,112
10000074,"8/12/2016","inceptos@duinec.edu",34564,65,207
10000074,"10/16/2015","Morbi.neque@sollicitudinorci.net",50217,20,157
10000074,"10/21/2016","non.nisi@Sedeu.com",57374,40,136
10000074,"11/17/2016","Sed@Suspendisse.com",76798,40,136
10000075,"4/15/2015","consectetuer.ipsum.nunc@volutpatornarefacilisis.com",9563,20,209
10000075,"12/13/2016","diam.dictum.sapien@sed.org",13882,20,246
10000075,"2/14/2016","euismod@Ut.edu",26624,20,248
10000075,"11/27/2015","interdum.enim.non@Maurisutquam.com",35349,40,159
10000075,"8/8/2016","lorem.auctor@accumsan.org",41782,40,204
10000075,"11/11/2015","mollis.vitae@ut.edu",50069,65,175
10000075,"6/12/2016","nunc.risus@QuisquevariusNam.org",61091,40,251
10000076,"4/29/2015","dolor.sit.amet@gravida.com",15366,50,105
10000076,"8/25/2016","fermentum.convallis.ligula@faucibusorciluctus.net",28881,17,131
10000076,"4/21/2016","metus@ante.edu",48186,50,56
10000076,"8/29/2016","penatibus.et@auctorodioa.com",65922,50,268
10000076,"10/18/2015","ullamcorper.nisl.arcu@elitAliquam.net",90211,30,186
10000076,"6/12/2016","Ut.nec.urna@nec.org",92126,50,138
10000076,"2/6/2015","velit@musProinvel.edu",95893,50,249
10000077,"6/25/2016","Duis.risus.odio@felisegetvarius.org",17995,30,219
10000077,"5/15/2015","faucibus.lectus.a@odio.org",27539,40,154
10000077,"1/21/2015","id.risus.quis@convallis.com",32107,30,200
10000077,"8/31/2015","ipsum@velitin.edu",36671,17,105
10000077,"7/28/2015","penatibus.et.magnis@rutrumloremac.edu",65918,30,210
10000077,"1/20/2017","rhoncus.Nullam@Morbi.net",72299,17,146
10000077,"3/8/2015","tincidunt.dui@iaculisaliquet.org",87251,17,107
10000078,"12/28/2016","convallis.in@Donecfelisorci.net",9908,60,67
10000078,"1/12/2016","dui@vestibulumnequesed.net",17394,17,171
10000078,"1/25/2015","facilisis.lorem@Donecluctusaliquet.com",26646,30,152
10000078,"11/29/2016","nulla.Integer.vulputate@eleifendnon.com",59302,65,75
10000078,"7/15/2016","Suspendisse.ac@diam.com",82994,17,228
10000078,"6/17/2016","tristique@sed.com",89375,30,54
10000078,"10/25/2016","ultrices@Quisquepurus.com",91407,17,215
10000079,"10/23/2016","cursus@Aliquam.net",13432,40,12
10000079,"6/6/2015","elit.Etiam.laoreet@FuscemollisDuis.com",20574,65,206
10000079,"12/15/2015","Nullam@atlacusQuisque.com",60169,40,141
10000079,"7/2/2016","sagittis.semper@magna.org",73544,60,139
10000079,"5/13/2015","sit.amet.risus@accumsanconvallisante.edu",79688,20,163
10000079,"11/12/2015","ullamcorper@dui.net",90704,30,117
10000079,"10/2/2015","velit@non.edu",95941,20,62
10000080,"10/12/2016","Cras@duiFuscealiquam.org",10874,30,148
10000080,"12/12/2016","dui@duilectusrutrum.edu",17239,60,236
10000080,"4/8/2016","eget.dictum.placerat@velitAliquam.com",18970,65,121
10000080,"7/1/2016","malesuada.ut.sem@semperrutrum.org",45984,30,171
10000080,"6/8/2016","mauris@arcuSed.com",47355,17,82
10000080,"4/3/2015","Nulla.facilisi.Sed@Fusce.edu",59051,20,197
10000080,"11/14/2015","Sed.diam@nullaIn.org",75116,20,260
10000081,"11/18/2015","Aenean.gravida@sollicitudin.com",4361,17,123
10000081,"12/30/2015","augue.eu@Craseget.com",8726,40,70
10000081,"3/25/2016","facilisis.vitae.orci@molestie.edu",27059,30,195
10000081,"3/20/2015","in@Fuscealiquamenim.com",33806,65,84
10000081,"6/13/2015","magna.a.tortor@Fuscealiquamenim.org",43952,30,121
10000081,"10/29/2015","massa.rutrum@euismodmauriseu.net",46236,20,96
10000081,"10/13/2015","ultrices.posuere@ultricies.net",90814,17,197
10000082,"5/14/2016","auctor.Mauris.vel@adipiscingelit.net",8571,17,144
10000082,"9/17/2016","felis.eget.varius@tincidunt.com",28765,60,273
10000082,"4/18/2016","nisl.Maecenas.malesuada@famesac.com",56471,60,170
10000082,"12/29/2015","nunc@ac.edu",61690,20,111
10000082,"5/19/2016","nunc@vestibulum.net",62489,20,194
10000082,"1/4/2016","sagittis@afelisullamcorper.org",73630,30,74
10000082,"10/12/2015","sit@maurissagittisplacerat.com",80702,50,105
10000083,"4/27/2015","Donec.tincidunt@ligula.org",16622,60,21
10000083,"6/19/2015","eu.sem@velvenenatisvel.edu",25414,40,128
10000083,"7/22/2016","hendrerit.neque.In@Quisquevarius.com",31776,50,333
10000083,"7/21/2016","in.magna.Phasellus@fringilla.edu",33447,30,13
10000083,"4/24/2015","pellentesque.a@etcommodoat.edu",65649,40,272
10000083,"6/26/2016","sed@per.com",76441,65,159
10000083,"5/1/2016","vestibulum.massa@utsemNulla.edu",95999,60,6
10000084,"8/23/2015","dictum.placerat.augue@Donec.edu",14808,20,1
10000084,"6/6/2016","dolor.sit.amet@nasceturridiculus.com",15589,50,138
10000084,"1/31/2015","elit.Aliquam@Duisatlacus.com",20381,60,184
10000084,"7/18/2016","fringilla.est.Mauris@DuisgravidaPraesent.com",29351,17,127
10000084,"5/9/2016","penatibus.et@eratvelpede.net",65952,60,250
10000084,"10/18/2015","sem.Nulla.interdum@Sedpharetra.org",77809,40,104
10000084,"11/18/2016","tristique@Namligula.com",89196,65,186
10000085,"5/11/2016","ac@Nullamnisl.org",3364,20,288
10000085,"10/28/2015","faucibus.Morbi.vehicula@quis.com",28216,40,163
10000085,"10/19/2015","lorem@mollis.com",42593,40,113
10000085,"4/13/2015","non.nisi.Aenean@penatibus.net",57345,17,75
10000085,"9/4/2015","non@tristiquenequevenenatis.edu",57953,65,46
10000085,"6/29/2015","Quisque.libero.lacus@velarcu.com",71756,50,78
10000085,"1/22/2015","ullamcorper.Duis@natoque.com",89866,60,249
10000086,"8/14/2015","adipiscing.elit.Etiam@telluseu.com",4076,60,6
10000086,"5/12/2015","lacus.Etiam.bibendum@posuereenimnisl.com",37393,30,1
10000086,"8/12/2016","lacus@necomnteblandit.edu",38031,60,157
10000086,"8/17/2015","mus.Donec.dignissim@ProinvelitSed.org",51352,65,104
10000086,"6/25/2015","posuere.cubilia@quam.com",67978,40,216
10000086,"9/11/2016","sed@tristiqueac.com",76905,40,125
10000086,"5/19/2015","vestibulum@rutrumFuscedolor.edu",97139,50,70
10000087,"2/11/2016","aliquam@Donec.com",4971,50,54
10000087,"6/23/2015","eu@a.org",25499,20,124
10000087,"6/10/2016","ipsum@euismodac.net",36318,40,114
10000087,"2/1/2015","nec.tempus@eueros.org",53630,17,148
10000087,"4/4/2016","netus.et.malesuada@maurissitamet.com",55501,17,142
10000087,"4/1/2016","nunc.interdum@arcuVestibulumante.org",60634,20,208
10000087,"2/13/2016","Proin.dolor@parturient.net",68813,17,85
10000088,"10/30/2016","commodo.ipsum@velconvallis.com",9296,60,99
10000088,"1/25/2015","dignissim@nonjustoProin.com",15045,40,138
10000088,"6/13/2015","ipsum.porta.elit@nisinibhlacinia.com",36223,50,168
10000088,"7/13/2015","molestie@lectusa.edu",49272,30,171
10000088,"7/8/2015","non.feugiat.nec@Nullamvelit.net",57161,65,143
10000088,"8/9/2016","torquent.per@ultriciesornare.org",87857,30,86
10000088,"10/9/2016","ut@Sedeget.com",93620,17,304
10000089,"2/16/2015","at@vitae.com",8448,20,130
10000089,"5/20/2016","Cum.sociis.natoque@temporaugueac.com",11962,50,146
10000089,"9/2/2016","elit.pellentesque@Fuscemilorem.com",20913,50,165
10000089,"1/10/2017","eu.neque@imperdiet.com",25343,40,150
10000089,"10/16/2015","pulvinar.arcu.et@Proin.com",69386,20,147
10000089,"2/23/2015","sapien.Cras.dolor@Ut.com",74116,40,233
10000089,"10/18/2015","tortor@pedePraesent.com",88269,60,131
10000090,"8/6/2015","faucibus@dolorsitamet.com",28465,20,145
10000090,"11/4/2016","habitant@justoeuarcu.edu",31471,60,226
10000090,"8/21/2016","hendrerit.a@iaculis.edu",31634,65,230
10000090,"3/31/2016","non.luctus.sit@pretium.org",57319,17,402
10000090,"10/2/2016","sodales.nisi@metusfacilisislorem.edu",82158,17,227
10000090,"1/30/2016","sollicitudin@elementumloremut.edu",82647,65,140
10000090,"12/10/2015","tellus.faucibus.leo@Etiambibendumfermentum.net",84303,20,417
10000091,"7/23/2015","at.velit.Cras@sit.com",8058,17,265
10000091,"7/17/2015","cursus.in.hendrerit@vel.com",12472,17,183
10000091,"8/6/2016","erat@mattisInteger.com",23559,40,244
10000091,"12/19/2015","eros@aliquameu.edu",24180,17,262
10000091,"4/13/2016","eu.tempor@lobortisquis.com",25452,17,238
10000091,"6/16/2016","quam.dignissim.pharetra@idrisusquis.com",70651,20,182
10000091,"9/19/2015","ut.pharetra.sed@elitpretiumet.org",93077,17,118
10000092,"9/10/2015","egestas@tempor.org",18716,60,222
10000092,"10/27/2016","In.ornare.sagittis@Integer.com",33518,60,189
10000092,"2/11/2016","lobortis@arcuimperdiet.com",41442,20,73
10000092,"11/4/2015","nec@arcuSedet.com",53821,60,248
10000092,"11/30/2016","odio.auctor@pharetra.edu",62654,17,123
10000092,"11/12/2016","ornare@Quisque.com",64337,30,206
10000092,"2/3/2015","varius.Nam.porttitor@feugiatplaceratvelit.com",94222,65,147
10000093,"10/8/2015","Duis.cursus.diam@etmagnisdis.com",17538,50,143
10000093,"9/14/2015","id@lacusCras.org",32205,17,234
10000093,"7/24/2015","In@magnisdisparturient.com",33962,30,228
10000093,"1/21/2016","Integer.urna.Vivamus@pellentesquemassalobortis.com",34843,20,61
10000093,"12/24/2016","non.vestibulum.nec@aauctor.edu",57466,50,70
10000093,"11/15/2015","orci.adipiscing@hendrerita.net",62859,20,7
10000093,"5/12/2016","sociosqu.ad.litora@anteipsum.com",81715,30,109
10000094,"11/27/2016","dignissim@volutpat.org",15105,17,216
10000094,"11/16/2016","fringilla.est.Mauris@feliseget.net",29674,40,235
10000094,"9/19/2016","id@mollisdui.org",32266,17,177
10000094,"7/6/2016","mollis.Integer@egetvenenatis.com",49636,50,72
10000094,"5/18/2016","sodales.purus@euodio.org",82203,65,219
10000094,"9/22/2015","tincidunt.adipiscing.Mauris@egestasadui.com",86407,50,150
10000094,"7/22/2015","varius.Nam@ut.com",94305,17,164
10000095,"1/26/2015","Cras.eget@ligula.com",10155,60,160
10000095,"1/1/2016","erat.in@Uttincidunt.org",23382,50,136
10000095,"9/9/2015","lectus.justo.eu@quis.net",38809,17,117
10000095,"6/14/2016","ligula.Nullam@Aenean.com",40854,40,282
10000095,"1/4/2017","Maecenas.iaculis@sedlibero.net",43946,20,86
10000095,"4/25/2015","sagittis.semper@ametconsectetuer.org",73506,30,152
10000095,"12/11/2015","vel.nisl.Quisque@metus.com",95188,20,268
10000096,"9/18/2015","nec.urna.et@vulputatemauris.org",53662,65,87
10000096,"5/4/2016","non@idmagnaet.com",57747,40,235
10000096,"5/22/2015","quis.lectus@euaugue.com",71030,40,127
10000096,"3/16/2015","risus.Nulla.eget@adipiscingelitEtiam.com",72630,40,202
10000096,"11/23/2016","sem.egestas.blandit@Aenean.org",77211,60,165
10000096,"7/21/2015","ullamcorper.magna@ullamcorper.org",90155,40,318
10000096,"4/26/2015","vel.turpis.Aliquam@magnisdis.org",95438,20,189
10000097,"5/30/2016","arcu@Aeneangravida.com",6963,17,78
10000097,"6/20/2016","at.augue@Crasdictum.org",7905,30,257
10000097,"2/22/2015","Duis.elementum@suscipitnonummyFusce.com",17858,60,99
10000097,"2/11/2016","ipsum@feugiatmetus.net",36340,30,229
10000097,"5/14/2016","Nullam.vitae@Sedmolestie.com",60056,20,30
10000097,"4/21/2016","scelerisque.sed@facilisiSedneque.com",74628,65,166
10000097,"9/27/2016","tellus@quismassaMauris.edu",85685,50,92
10000098,"7/19/2015","at@Cum.com",8213,30,158
10000098,"4/29/2016","dictum.cursus.Nunc@aliquet.com",14789,17,201
10000098,"9/4/2016","laoreet.posuere.enim@necmaurisblandit.org",38803,30,135
10000098,"6/22/2016","Praesent.interdum.ligula@tacitisociosqu.com",68397,60,190
10000098,"7/5/2015","sapien@Inscelerisque.com",74388,17,33
10000098,"9/1/2016","scelerisque.sed.sapien@aliquetlobortisnisi.com",74534,40,78
10000098,"7/15/2015","ultrices@vitae.com",91477,40,47
10000099,"4/18/2016","dapibus@quam.com",13841,60,185
10000099,"11/15/2016","enim.Mauris@netus.com",22737,17,372
10000099,"1/26/2015","magnis.dis.parturient@diam.edu",45531,30,242
10000099,"12/27/2015","pharetra.felis@ut.com",66277,65,71
10000099,"12/6/2016","Phasellus.vitae.mauris@Namnulla.org",67431,60,158
10000099,"9/23/2016","rutrum@vestibulummassarutrum.com",73105,20,80
10000099,"1/30/2016","ultrices@Integer.com",90862,50,216
10000100,"4/14/2016","Aliquam.erat@erosNamconsequat.org",4512,17,6
10000100,"9/25/2015","eget.magna@Vestibulumante.com",19223,40,302
10000100,"1/14/2017","enim.Nunc.ut@ametconsectetuer.com",22762,60,159
10000100,"5/7/2015","nulla.Integer.urna@Sed.edu",59180,30,277
10000100,"10/15/2015","nunc.ullamcorper.eu@Aenean.com",61540,20,153
10000100,"3/14/2016","urna@elitNullafacilisi.org",92055,65,146
10000100,"5/27/2016","vehicula.aliquet@elitEtiamlaoreet.com",94683,30,201
10000101,"6/19/2016","arcu.iaculis.enim@facilisis.com",6265,30,14
10000101,"6/10/2016","Donec.dignissim@eu.net",15971,30,167
10000101,"9/20/2015","Donec@In.net",16928,50,119
10000101,"3/8/2016","eget.nisi@a.net",19693,40,87
10000101,"10/22/2016","lacinia.orci.consectetuer@purusgravida.net",37237,50,305
10000101,"3/1/2015","mauris.blandit.mattis@tempordiam.com",47005,40,166
10000101,"10/29/2015","netus.et@blanditenim.com",55782,30,98
10000102,"11/9/2015","Aenean.eget@diamDuismi.com",4343,17,57
10000102,"7/3/2015","arcu.Vestibulum.ut@dignissim.org",6959,50,211
10000102,"10/31/2015","nibh.enim@Vestibulum.edu",55860,40,209
10000102,"5/13/2015","orci@faucibusleoin.com",63128,50,153
10000102,"6/24/2016","sem.elit.pharetra@euultricessit.net",77359,60,204
10000102,"12/4/2015","Ut.nec@accumsanconvallis.com",92538,40,135
10000102,"11/13/2016","varius@amifringilla.net",94422,30,143
10000103,"1/25/2016","accumsan.convallis@nec.org",3474,40,9
10000103,"1/26/2015","elit@placerataugue.com",21531,20,42
10000103,"2/11/2016","et.magnis@tempuslorem.com",24453,60,207
10000103,"8/31/2015","Praesent.eu@turpisnec.edu",68237,60,183
10000103,"7/13/2015","Praesent@magna.org",68473,65,125
10000103,"9/9/2015","ridiculus.mus.Proin@Proin.com",72423,20,111
10000103,"4/24/2016","rutrum.Fusce.dolor@lectuspedeultrices.org",72784,40,98
10000104,"9/9/2016","arcu@parturientmontes.com",7057,50,229
10000104,"1/16/2016","Cras@Nunclaoreetlectus.net",11412,50,72
10000104,"11/12/2016","Cum@venenatis.edu",11983,60,241
10000104,"12/3/2016","erat.Sed.nunc@justo.com",23479,65,148
10000104,"5/7/2016","neque.venenatis.lacus@interdum.com",54993,60,13
10000104,"4/18/2016","non@enim.com",57689,50,199
10000104,"3/18/2015","senectus.et.netus@estMauris.com",79316,65,249
10000105,"8/14/2016","a@montes.org",2795,20,373
10000105,"12/6/2015","at@nequetellusimperdiet.edu",8299,30,292
10000105,"12/9/2015","Donec.egestas@malesuadavel.net",16187,17,4
10000105,"11/16/2015","eget.dictum.placerat@faucibuslectus.com",18753,30,315
10000105,"6/15/2016","elit.pellentesque.a@tinciduntnequevitae.edu",20819,17,360
10000105,"12/20/2015","lobortis.nisi@amet.edu",41114,50,163
10000105,"4/23/2016","Sed.malesuada.augue@ametrisusDonec.com",75982,40,120
10000106,"1/10/2016","dolor.sit.amet@vulputate.com",15645,17,53
10000106,"1/23/2016","dolor@Sedeget.edu",15804,20,144
10000106,"12/26/2015","lorem.vehicula@pretium.com",42092,17,37
10000106,"1/28/2016","neque.Nullam.ut@viverraDonectempus.com",54206,50,156
10000106,"1/31/2016","Nulla@ullamcorper.com",59988,40,82
10000106,"1/4/2017","tincidunt.Donec@risus.org",87099,17,230
10000106,"5/19/2016","vitae.sodales@tellus.com",98059,40,242
10000107,"3/7/2015","a.feugiat@semperpretium.com",2040,40,23
10000107,"3/7/2015","amet.consectetuer@duinectempus.org",5613,20,43
10000107,"6/24/2016","ante@arcu.com",5860,20,134
10000107,"10/12/2016","elit@Duissit.com",21097,50,160
10000107,"6/25/2015","Mauris@aliquet.net",47281,65,174
